ID,label,statement,subject,speaker,job_title,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_on_fire_count,context,target,words
7798.json,barely-true,The IRS will have the ability potentially to deny or delay health care.,"health-care,taxes",michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,"an interview on Fox News' ""On the Record"" with Greta Van Susteren",1,"['the', 'irs', 'will', 'have', 'the', 'ability', 'potentially', 'to', 'deny', 'or', 'delay', 'health', 'care', '.']"
3783.json,barely-true,"Deregulation of the states telecommunications industry will create 50,000 jobs in Wisconsin.",jobs,rich-zipperer,"State Senator, District 33",Wisconsin,republican,1.0,0.0,0.0,0.0,0.0,interviews and testimony about the bill,1,"['deregulation', 'of', 'the', 'states', 'telecommunications', 'industry', 'will', 'create', '50,000', 'jobs', 'in', 'wisconsin', '.']"
7793.json,mostly-true,Says paid family leave is a program that is standard in all but five nations around the world.,"children,families,labor,women,workers",family-forward-oregon,,,organization,0.0,0.0,0.0,1.0,0.0,a flier,2,"['says', 'paid', 'family', 'leave', 'is', 'a', 'program', 'that', 'is', 'standard', 'in', 'all', 'but', 'five', 'nations', 'around', 'the', 'world', '.']"
12652.json,pants-fire,Says Attorney General Loretta Lynch was a member of Bill Clintons defense team during the 1992 Whitewater corruption probe.,"candidates-biography,crime,criminal-justice,history",viral-image,,,none,5.0,5.0,0.0,3.0,15.0,a posting on Twitter,0,"['says', 'attorney', 'general', 'loretta', 'lynch', 'was', 'a', 'member', 'of', 'bill', 'clintons', 'defense', 'team', 'during', 'the', '1992', 'whitewater', 'corruption', 'probe', '.']"
5965.json,mostly-true,"Says Mitt Romney is wrong to claim that spending under Obama has accelerated at a pace without precedent in recent history, because its actually risen slower than at any time in nearly 60 years.","corrections-and-updates,economy,federal-budget,history,stimulus",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,on the Internet,2,"['says', 'mitt', 'romney', 'is', 'wrong', 'to', 'claim', 'that', 'spending', 'under', 'obama', 'has', 'accelerated', 'at', 'a', 'pace', 'without', 'precedent', 'in', 'recent', 'history,', 'because', 'its', 'actually', 'risen', 'slower', 'than', 'at', 'any', 'time', 'in', 'nearly', '60', 'years', '.']"
11648.json,mostly-true,California has robust job growth that outpaces the rest of the nation.,"climate-change,economy,energy,jobs",kevin-de-leon,California Senate leader,California,democrat,0.0,0.0,0.0,3.0,0.0,a press release,2,"['california', 'has', 'robust', 'job', 'growth', 'that', 'outpaces', 'the', 'rest', 'of', 'the', 'nation', '.']"
1437.json,half-true,"The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household.",federal-budget,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,the Republican response to the State of the Union,1,"['the', 'amount', 'of', 'debt', 'is', 'on', 'pace', 'to', 'double', 'in', 'five', 'years', 'and', 'triple', 'in', '10', '.', 'the', 'federal', 'debt', 'is', 'now', 'over', '$100,000', 'per', 'household', '.']"
1910.json,half-true,"The minute this proposal for near-beach oil drilling came up, I was against it.",oil-spill,alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a speech,1,"['the', 'minute', 'this', 'proposal', 'for', 'near-beach', 'oil', 'drilling', 'came', 'up,', 'i', 'was', 'against', 'it', '.']"
13434.json,true,Says Richard Burr was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave.,"congress,congressional-rules,ethics,legal-issues,voting-record",deborah-ross,Democratic candidate for U.S. Senate,North Carolina,democrat,0.0,0.0,3.0,0.0,0.0,a debate,2,"['says', 'richard', 'burr', 'was', 'one', 'of', 'only', 'three', 'senators', 'who', 'voted', 'against', 'a', 'ban', 'on', 'insider', 'trading', 'for', 'members', 'of', 'congress', '.', 'and', 'he', 'called', 'that', 'vote', 'brave', '.']"
5487.json,mostly-true,Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed.,"education,guns,public-safety,states",glenford-shibley,Retired,Rhode Island,republican,0.0,0.0,0.0,1.0,0.0,a news release,2,"['rhode', 'island', 'is', 'the', 'only', 'state', 'where', 'officers', 'at', 'state-supported', '[colleges]', 'carry', 'out', 'their', 'duties', 'unarmed', '.']"
6841.json,mostly-true,Says the United States has the highest corporate tax rate in the world.,"corporations,taxes",joseph-kyrillos,State Senator,New Jersey,republican,3.0,3.0,2.0,2.0,1.0,a debate on NJTV,2,"['says', 'the', 'united', 'states', 'has', 'the', 'highest', 'corporate', 'tax', 'rate', 'in', 'the', 'world', '.']"
12457.json,false,"It was allowed, referring to her email practices.","homeland-security,technology",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,an interview on ABC,0,"['it', 'was', 'allowed,', 'referring', 'to', 'her', 'email', 'practices', '.']"
1467.json,true,The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.',economy,judd-gregg,U.S. Senator,,republican,0.0,0.0,0.0,1.0,0.0,a Senate budget hearing,2,"['the', 'law', 'is', 'very', 'clear!', ""'the"", 'monies', 'recouped', 'from', 'the', 'tarp', 'shall', 'be', 'paid', 'into', 'the', 'general', 'fund', 'of', 'the', 'treasury', 'for', 'the', 'reduction', 'of', 'the', 'public', 'debt', "".'""]"
13321.json,barely-true,"Says Rob Portman was a registered foreign agent whose client was Haiti, at a time when the Baby Doc, Duvalier, who was a despot, was killing people.","corrections-and-updates,foreign-policy",ted-strickland,Former Ohio governor,Ohio,democrat,2.0,6.0,7.0,4.0,1.0,the U.S. Senate debate in Cleveland,1,"['says', 'rob', 'portman', 'was', 'a', 'registered', 'foreign', 'agent', 'whose', 'client', 'was', 'haiti,', 'at', 'a', 'time', 'when', 'the', 'baby', 'doc,', 'duvalier,', 'who', 'was', 'a', 'despot,', 'was', 'killing', 'people', '.']"
9123.json,barely-true,Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional.,"foreign-policy,legal-issues",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,viral posts on the Internet,1,"['says', 'president', 'barack', 'obamas', 'acceptance', 'of', 'an', 'islamic', 'order', 'and', 'gold', 'medal', 'was', 'unconstitutional', '.']"
8348.json,mostly-true,"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.",immigration,lamar-smith,Congressman,Texas,republican,2.0,5.0,1.0,3.0,0.0,a flier mailed to constituents,2,"['in', '2010,', 'the', 'non-partisan', 'government', 'accountability', 'office', 'found', 'that', 'only', '6', '.5', 'percent', 'of', 'the', 'u', '.s', '.-mexico', 'border', 'was', 'under', 'full', 'control', 'of', 'the', 'border', 'patrol', '.']"
7960.json,half-true,Not one tax has been raised since Ive been governor.,taxes,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,"an interview on the ""Ask The Governor"" monthly radio call-in program",1,"['not', 'one', 'tax', 'has', 'been', 'raised', 'since', 'ive', 'been', 'governor', '.']"
2857.json,true,"Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year.","federal-budget,infrastructure,transportation",ohio-department-transportation,,Ohio,none,0.0,0.0,0.0,0.0,0.0,a news release,2,"['demand', 'for', 'transportation', 'choice', 'is', 'on', 'the', 'rise,', 'with', '14', 'percent', 'more', 'ohioans', 'riding', 'passenger', 'trains', 'over', 'the', 'past', 'year', '.']"
8473.json,false,Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.,"health-care,privacy,technology",joe-barton,U.S. Representative,Texas,republican,3.0,1.0,0.0,0.0,0.0,a Fox News interview,0,"['hidden', 'in', 'the', 'healthcare', '.gov', 'code', 'is', 'language', 'that', 'means', 'users', 'waive', 'any', 'reasonable', 'right', 'to', 'privacy', 'of', 'your', 'personal', 'information', '.']"
3749.json,barely-true,Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.,afghanistan,david-cicilline,mayor of Providence,Rhode Island,democrat,7.0,4.0,5.0,4.0,1.0,a radio interview,1,"['most', 'military', 'experts', 'say', 'there', 'is', 'anywhere', 'between', '25', 'and', '30', 'members', 'of', 'al', 'qaeda', 'in', 'afghanistan', '.']"
313.json,half-true,The average American is working through the month of May just to pay off the government.,taxes,mike-huckabee,author,Arkansas,republican,12.0,5.0,9.0,3.0,4.0,a debate in Boca Raton.,1,"['the', 'average', 'american', 'is', 'working', 'through', 'the', 'month', 'of', 'may', 'just', 'to', 'pay', 'off', 'the', 'government', '.']"
5734.json,half-true,"While the countrys economy was battered, nine states with no income tax actually grew jobs from 2001 to 2010.","income,jobs,states,taxes",bettylou-decroce,,,republican,0.0,0.0,1.0,0.0,0.0,n opinion column in the Gloucester County Times,1,"['while', 'the', 'countrys', 'economy', 'was', 'battered,', 'nine', 'states', 'with', 'no', 'income', 'tax', 'actually', 'grew', 'jobs', 'from', '2001', 'to', '2010', '.']"
10798.json,false,"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",military,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a speech at the Iowa Faith and Freedom Summit,0,"['the', 'united', 'states', 'is', 'not', 'building', 'the', 'aircraft,', 'the', 'long-range', 'bombers,', 'the', 'additional', 'aircraft', 'carriers,', 'the', 'nuclear', 'submarines', '.']"
10857.json,false,"Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.","federal-budget,military,taxes",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a roundtable with Texas businesses,0,"['every', 'year', 'we', 'spend', 'roughly', '$500', 'billion', 'on', 'tax', 'compliance', '.', 'that', 'is', 'roughly', 'the', 'budget', 'of', 'our', 'entire', 'military,', 'entirely', 'wasted', 'on', 'tax', 'compliance', '.']"
4485.json,true,The city of Atlanta has either the highest or second-highest average water bills in the country.,"taxes,water",carla-smith,,,none,0.0,0.0,0.0,0.0,0.0,a meeting,2,"['the', 'city', 'of', 'atlanta', 'has', 'either', 'the', 'highest', 'or', 'second-highest', 'average', 'water', 'bills', 'in', 'the', 'country', '.']"
12922.json,barely-true,Roy Coopers refusal to do his job is costing taxpayers money.,"ethics,legal-issues,public-service,states",pat-mccrory,Governor of North Carolina,North Carolina,republican,5.0,2.0,3.0,0.0,1.0,a press release,1,"['roy', 'coopers', 'refusal', 'to', 'do', 'his', 'job', 'is', 'costing', 'taxpayers', 'money', '.']"
13269.json,mostly-true,"In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation.",foreign-policy,mike-pence,Governor,Indiana,republican,8.0,10.0,12.0,5.0,0.0,"comments on ""Meet the Press""",2,"['in', 'exchange', 'for', 'five', 'minutes', 'with', 'bill', 'clinton,', 'the', 'government', 'of', 'qatar', 'was', 'going', 'to', 'give', '$1', 'million', 'to', 'the', 'clinton', 'foundation', '.']"
5145.json,barely-true,Rob Cornilles has disputed for two years a news story that said he said he would cut Social Security and Medicare programs before trimming the U.S. defense budget.,"medicare,social-security",rob-cornilles,consultant,Oregon,republican,1.0,1.0,3.0,1.0,1.0,a debate,1,"['rob', 'cornilles', 'has', 'disputed', 'for', 'two', 'years', 'a', 'news', 'story', 'that', 'said', 'he', 'said', 'he', 'would', 'cut', 'social', 'security', 'and', 'medicare', 'programs', 'before', 'trimming', 'the', 'u', '.s', '.', 'defense', 'budget', '.']"
3004.json,false,Says Texas Railroad Commissioner Michael Williams has attended more than 150 tea party gatherings.,"bipartisanship,candidates-biography",dean-wright,Small businessman,Texas,none,0.0,1.0,0.0,0.0,0.0,a newspaper article.,0,"['says', 'texas', 'railroad', 'commissioner', 'michael', 'williams', 'has', 'attended', 'more', 'than', '150', 'tea', 'party', 'gatherings', '.']"
2399.json,false,Harry Reid has voted to give special tax breaks to illegal aliens.,"immigration,message-machine,taxes",sharron-angle,Republican nominee for Nevada U.S. Senate seat,Nevada,republican,3.0,1.0,1.0,0.0,0.0,a campaign commerical,0,"['harry', 'reid', 'has', 'voted', 'to', 'give', 'special', 'tax', 'breaks', 'to', 'illegal', 'aliens', '.']"
10649.json,false,Job growth in the United States is now at the fastest pace in this countrys history.,"economy,jobs",david-simas,White House aide,"Washington, D.C.",democrat,0.0,1.0,0.0,0.0,0.0,"an interview on CNN's ""New Day""",0,"['job', 'growth', 'in', 'the', 'united', 'states', 'is', 'now', 'at', 'the', 'fastest', 'pace', 'in', 'this', 'countrys', 'history', '.']"
13279.json,half-true,"When asked about equal pay for women, (Rubios) quote was that it was a waste of time.","labor,women",patrick-murphy,,Florida,democrat,2.0,1.0,4.0,5.0,0.0,a U.S. Senate debate,1,"['when', 'asked', 'about', 'equal', 'pay', 'for', 'women,', '(rubios)', 'quote', 'was', 'that', 'it', 'was', 'a', 'waste', 'of', 'time', '.']"
11283.json,mostly-true,Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010.,"crime,public-safety",reader-email,,,none,0.0,0.0,0.0,1.0,1.0,an email from a reader,2,"['atlanta', 'has', 'issued', 'an', 'increasing', 'number', 'of', 'citations', '-', 'and', 'collected', 'an', 'increasing', 'amount', 'of', 'revenue', '-', 'since', 'mayor', 'kasim', 'reed', 'took', 'office', 'in', '2010', '.']"
10865.json,true,Says he was known as Veto Corleone for cutting spending as Florida governor.,state-budget,jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,"a meeting with business leaders in Portsmouth, N.H.",2,"['says', 'he', 'was', 'known', 'as', 'veto', 'corleone', 'for', 'cutting', 'spending', 'as', 'florida', 'governor', '.']"
10185.json,true,The last time Republican U.S. Senate candidates beat more than two (incumbents) was 1980.,elections,sean-spicer,Communications Director for the Republican National Committee,,republican,0.0,0.0,0.0,0.0,1.0,"comments on CNN's ""State of the Union""",2,"['the', 'last', 'time', 'republican', 'u', '.s', '.', 'senate', 'candidates', 'beat', 'more', 'than', 'two', '(incumbents)', 'was', '1980', '.']"
4700.json,barely-true,The State of Rhode Island has the worst state-funded pension in the country.,"deficit,pensions,state-budget,state-finances",helen-glover,"talk show host, WHJJ",Rhode Island,talk-show-host,1.0,1.0,0.0,0.0,0.0,an introduction to a radio interview,1,"['the', 'state', 'of', 'rhode', 'island', 'has', 'the', 'worst', 'state-funded', 'pension', 'in', 'the', 'country', '.']"
12267.json,half-true,In 2009 Hillary Clinton was at the State Department working with U.S. corporations to pressure Haiti not to raise the minimum wage to 61 cents an hour from 24 cents.,"foreign-policy,labor,workers",lee-camp,Host of Redacted Tonight with Lee Camp,,talk-show-host,0.0,0.0,1.0,0.0,0.0,"an episode of ""Redacted Tonight""",1,"['in', '2009', 'hillary', 'clinton', 'was', 'at', 'the', 'state', 'department', 'working', 'with', 'u', '.s', '.', 'corporations', 'to', 'pressure', 'haiti', 'not', 'to', 'raise', 'the', 'minimum', 'wage', 'to', '61', 'cents', 'an', 'hour', 'from', '24', 'cents', '.']"
9986.json,barely-true,"After the 2012 redistricting, Wisconsin has competitive congressional districts.",redistricting,paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,a speech,1,"['after', 'the', '2012', 'redistricting,', 'wisconsin', 'has', 'competitive', 'congressional', 'districts', '.']"
336.json,true,(John McCain) was even mentioned as a running mate with John Kerry.,elections,citizens-united-political-victory-fund,,"Washington, D.C.",republican,0.0,0.0,0.0,1.0,0.0,a TV ad,2,"['(john', 'mccain)', 'was', 'even', 'mentioned', 'as', 'a', 'running', 'mate', 'with', 'john', 'kerry', '.']"
1805.json,barely-true,"Says U.S. Rep. Lamar Smith supported the $700 billion Wall Street bailout in 2008, ""but now he is standing in the way of reforms that would assure these bailouts would never happen again.","campaign-finance,economy,financial-regulation",lainey-melnick,Real estate broker,Texas,democrat,1.0,0.0,0.0,0.0,0.0,an e-mail blast,1,"['says', 'u', '.s', '.', 'rep', '.', 'lamar', 'smith', 'supported', 'the', '$700', 'billion', 'wall', 'street', 'bailout', 'in', '2008,', '""but', 'now', 'he', 'is', 'standing', 'in', 'the', 'way', 'of', 'reforms', 'that', 'would', 'assure', 'these', 'bailouts', 'would', 'never', 'happen', 'again', '.']"
11300.json,half-true,#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.,"education,health-care",caleb-rowden,State representative,Missouri,republican,1.0,0.0,1.0,1.0,0.0,a tweet,1,"['#gradinsurance', 'debacle', 'is', 'a', 'direct', 'result', 'of', '#obamacare', '.', '#mizzou', 'has', 'to', 'break', 'the', 'law', 'to', 'do', 'the', 'right', 'thing', '.']"
6564.json,pants-fire,Says President Obama has waived the work requirement for welfare.,welfare,rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,a convention speech,0,"['says', 'president', 'obama', 'has', 'waived', 'the', 'work', 'requirement', 'for', 'welfare', '.']"
2329.json,barely-true,Says Rick Perry is a 25-year incumbent.,"candidates-biography,job-accomplishments",bill-white,Former mayor of Houston,Texas,democrat,2.0,3.0,5.0,7.0,3.0,a press release,1,"['says', 'rick', 'perry', 'is', 'a', '25-year', 'incumbent', '.']"
3870.json,false,Says Ocean Spray is moving its Bordentown processing facility to Pennsylvania largely because of costs associated with the Regional Greenhouse Gas Initiative.,"cap-and-trade,climate-change,economy",diane-allen,State Senator,New Jersey,republican,0.0,1.0,0.0,0.0,0.0,a press release,0,"['says', 'ocean', 'spray', 'is', 'moving', 'its', 'bordentown', 'processing', 'facility', 'to', 'pennsylvania', 'largely', 'because', 'of', 'costs', 'associated', 'with', 'the', 'regional', 'greenhouse', 'gas', 'initiative', '.']"
8955.json,true,Rhode Island is almost dead last among Northeastern states in the length of time first-degree murderers must spend in prison before theyre eligible for parole.,"crime,criminal-justice,legal-issues,states",leonidas-raptakis,State Senator,Rhode Island,democrat,0.0,1.0,1.0,0.0,0.0,a news conference,2,"['rhode', 'island', 'is', 'almost', 'dead', 'last', 'among', 'northeastern', 'states', 'in', 'the', 'length', 'of', 'time', 'first-degree', 'murderers', 'must', 'spend', 'in', 'prison', 'before', 'theyre', 'eligible', 'for', 'parole', '.']"
1160.json,false,"All the really great programs in American history, Social Security, was done without Republicans. Medicare was done without Republican support until the last vote where they realized they had to get on board.","health-care,history,medicare",howard-dean,Democratic National Committee chairman,Vermont,democrat,1.0,4.0,1.0,2.0,0.0,an interview on the Rachel Maddow Show,0,"['all', 'the', 'really', 'great', 'programs', 'in', 'american', 'history,', 'social', 'security,', 'was', 'done', 'without', 'republicans', '.', 'medicare', 'was', 'done', 'without', 'republican', 'support', 'until', 'the', 'last', 'vote', 'where', 'they', 'realized', 'they', 'had', 'to', 'get', 'on', 'board', '.']"
8021.json,mostly-true,"The Hispanic population in Gwinnett and Henry counties has increased by 153 percent and 339 percent, respectively, since 2000 while Republican presidential candidates are getting a smaller percentage of the vote in those counties.",elections,karl-rove,,Texas,republican,2.0,5.0,2.0,8.0,0.0,an op-ed,2,"['the', 'hispanic', 'population', 'in', 'gwinnett', 'and', 'henry', 'counties', 'has', 'increased', 'by', '153', 'percent', 'and', '339', 'percent,', 'respectively,', 'since', '2000', 'while', 'republican', 'presidential', 'candidates', 'are', 'getting', 'a', 'smaller', 'percentage', 'of', 'the', 'vote', 'in', 'those', 'counties', '.']"
9103.json,mostly-true,I was the most bipartisan senator in the United States Senate.,"bipartisanship,voting-record",scott-brown,,New Hampshire,republican,2.0,2.0,1.0,3.0,1.0,"a meeting with Republicans in Portsmouth, N.H.",2,"['i', 'was', 'the', 'most', 'bipartisan', 'senator', 'in', 'the', 'united', 'states', 'senate', '.']"
4308.json,mostly-true,U.S. debt is now equal to 100 percent of the GDP.,"deficit,federal-budget",rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,a news release,2,"['u', '.s', '.', 'debt', 'is', 'now', 'equal', 'to', '100', 'percent', 'of', 'the', 'gdp', '.']"
11314.json,true,The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.,drugs,carly-fiorina,,California,republican,5.0,5.0,4.0,3.0,2.0,the CNN Republican debate,2,"['the', 'marijuana', 'that', 'kids', 'are', 'smoking', 'today', 'is', 'not', 'the', 'same', 'as', 'the', 'marijuana', 'that', 'jeb', 'bush', 'smoked', '40', 'years', 'ago', '.']"
763.json,true,Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law.,abortion,national-right-life-committee,,,none,1.0,2.0,1.0,0.0,0.0,a published piece on their Web site,2,"['barack', 'obama', 'voted', 'against', 'born', 'alive', 'legislation', 'in', 'illinois', 'that', 'was', 'virtually', 'identical', 'to', 'the', 'federal', 'law', '.']"
5094.json,false,Says President Barack Obama has opened up no new trade relationships with other nations.,"economy,foreign-policy,new-hampshire-2012,trade",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"a Republican presidential debate in Manchester, N.H.",0,"['says', 'president', 'barack', 'obama', 'has', 'opened', 'up', 'no', 'new', 'trade', 'relationships', 'with', 'other', 'nations', '.']"
10310.json,mostly-true,Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.,"taxes,voting-record",susan-stimpson,,Virginia,republican,0.0,1.0,0.0,1.0,0.0,a news release.,2,"['bill', 'howell', 'has', 'been', 'the', 'consistent', 'force', 'behind', 'every', 'major', 'tax', 'increase', 'in', 'virginia', 'in', 'the', 'last', 'decade', '.']"
6561.json,half-true,President Obama is attacking Paul Ryan on Medicare even though it is his administration with the help of Jim Langevin who cut $716 billion from Medicare.,medicare,michael-riley,,Rhode Island,republican,2.0,1.0,1.0,0.0,0.0,a post on Riley’s Facebook campaign page,1,"['president', 'obama', 'is', 'attacking', 'paul', 'ryan', 'on', 'medicare', 'even', 'though', 'it', 'is', 'his', 'administration', 'with', 'the', 'help', 'of', 'jim', 'langevin', 'who', 'cut', '$716', 'billion', 'from', 'medicare', '.']"
12570.json,pants-fire,Says Hillary Clinton has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.,"candidates-biography,economy,foreign-policy,history,job-accomplishments,trade",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a speech,0,"['says', 'hillary', 'clinton', 'has', 'even', 'deleted', 'this', 'record', 'of', 'total', 'support', '(for', 'the', 'trans-pacific', 'partnership', 'trade', 'agreement)', 'from', 'her', 'book', '.']"
828.json,false,"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'",foreign-policy,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a TV ad airing in Florida,0,"['obama', 'says', 'iran', 'is', 'a', ""'tiny'"", 'country,', ""'doesn't"", 'pose', 'a', 'serious', 'threat', "".'""]"
10209.json,true,"Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014.",congress,facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a meme on social media,2,"['congress', 'has', '11', 'percent', 'approval', 'ratings,', 'yet', '96', '.4', 'percent', 'of', 'incumbent', 'lawmakers', 'were', 're-elected', 'in', '2014', '.']"
3023.json,false,Ohio has lost more population than every other state in the country except for two.,economy,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,a news conference,0,"['ohio', 'has', 'lost', 'more', 'population', 'than', 'every', 'other', 'state', 'in', 'the', 'country', 'except', 'for', 'two', '.']"
12332.json,mostly-true,"Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris.","campaign-finance,elections",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a speech at the California Republican Party Convention,2,"['here', 'in', 'california,', 'donald', 'trump', 'has', 'given', '$12,000', 'to', 'jerry', 'brown,', 'gavin', 'newsom', 'and', 'kamala', 'harris', '.']"
2294.json,half-true,Gov. Rick Perry has overseen the highest Texas unemployment in 22 years.,economy,back-basics,,Texas,democrat,0.0,2.0,1.0,1.0,0.0,a newspaper ad,1,"['gov', '.', 'rick', 'perry', 'has', 'overseen', 'the', 'highest', 'texas', 'unemployment', 'in', '22', 'years', '.']"
12844.json,mostly-true,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.,"economy,housing",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a tweet,2,"['american', 'homeownership', 'rate', 'in', 'q2', '2016', 'was', '62', '.9%', '-', 'lowest', 'rate', 'in', '51yrs', '.']"
6835.json,half-true,"Romneys Medicare plan was estimated to cost the average senior about $6,000 a year.","debates,medicare,retirement",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a debate in Denver,1,"['romneys', 'medicare', 'plan', 'was', 'estimated', 'to', 'cost', 'the', 'average', 'senior', 'about', '$6,000', 'a', 'year', '.']"
361.json,false,"Says the difference between her and Barack Obama is ""about 35 years of experience.""",candidates-biography,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a campaign event in Robstown, Texas.",0,"['says', 'the', 'difference', 'between', 'her', 'and', 'barack', 'obama', 'is', '""about', '35', 'years', 'of', 'experience', '.""']"
11576.json,half-true,"The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.",health-care,bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,"a Democratic presidential debate in Des Moines, Iowa",1,"['the', 'united', 'states', 'is', 'the', 'only', 'major', 'country', 'on', 'earth', 'that', 'doesnt', 'guarantee', 'health', 'care', 'to', 'all', 'people', 'as', 'a', 'right,', 'not', 'a', 'privilege', '.']"
10608.json,barely-true,Said former U.S. Ambassador to Kenya Scott Gration was forced to resign two years ago because of his personal use of emails.,"ethics,transparency",david-shuster,,,none,1.0,0.0,0.0,0.0,0.0,a Hillary Clinton press conference,1,"['said', 'former', 'u', '.s', '.', 'ambassador', 'to', 'kenya', 'scott', 'gration', 'was', 'forced', 'to', 'resign', 'two', 'years', 'ago', 'because', 'of', 'his', 'personal', 'use', 'of', 'emails', '.']"
10936.json,half-true,Says Florida is a model for successful pretrial release programs.,"crime,criminal-justice",john-oliver,"Host, Last Week Tonight",,none,0.0,0.0,2.0,4.0,0.0,"a segment about bail on ""Last Week Tonight""",1,"['says', 'florida', 'is', 'a', 'model', 'for', 'successful', 'pretrial', 'release', 'programs', '.']"
6284.json,barely-true,If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks.,government-efficiency,julia-hurley,State representative,Tennessee,republican,1.0,0.0,0.0,0.0,0.0,an email to constituents,1,"['if', 'you', 'have', 'ever', 'visited', 'nashville', 'or', 'washington', 'd', '.c', '.', 'you', 'will', 'see', 'many', 'names', 'and', 'initials', 'carved', 'into', '.', '.', '.', 'desks', '.']"
6739.json,pants-fire,Redistribution has never been a characteristic of America.,"economy,federal-budget,history,taxes",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,remarks in Atlanta,0,"['redistribution', 'has', 'never', 'been', 'a', 'characteristic', 'of', 'america', '.']"
5127.json,false,Tampa is the strip club capital of the world.,"economy,pop-culture",ellyn-bogdanoff,state representative,Florida ,republican,1.0,1.0,1.0,0.0,0.0,a hearing in Tallahassee,0,"['tampa', 'is', 'the', 'strip', 'club', 'capital', 'of', 'the', 'world', '.']"
4166.json,true,Says that U.S. Rep. Allen West is a constituent of mine.,"elections,redistricting",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7.0,9.0,8.0,15.0,3.0,an interview on CNN,2,"['says', 'that', 'u', '.s', '.', 'rep', '.', 'allen', 'west', 'is', 'a', 'constituent', 'of', 'mine', '.']"
